# fuzz-only (92 @ solver=2809)
# format: Branch[id]:side | STATUS | target-func | fuzz-program

Branch[1277]:T | unsolved:no-goals | ToUint16 | String . fromCharCode ( 0n ) ;
Branch[1943]:T | miss | SetIntegrityLevel | Object . seal ( ( new Proxy ( [ ] , { defineProperty : 0 } ) ) ) ;
Branch[8179]:T | unsolved:no-goals | UTF16EncodeCodePoint | String . fromCodePoint ( 0 ) ;
Branch[17788]:T | unsolved:no-goals | PerformEval | eval . call ( 0 , '' ) ;
Branch[17847]:F | unsolved:no-goals | PerformEval | eval . call ( 0 , "0" ) ;
Branch[18727]:T | miss | INTRINSICS.Object.isFrozen | Object . isFrozen ( ( new Proxy ( { } , { isExtensible : 1 } ) ) ) ;
Branch[18739]:T | miss | INTRINSICS.Object.isSealed | Object . isSealed . call ( 0 , ( new Proxy ( { } , { isExtensible : 1 } ) ) ) ;
Branch[19044]:T | miss | INTRINSICS.set:Object.prototype.__proto__ | var x = { } ; x . __proto__ = x ;
Branch[19346]:T | miss | INTRINSICS.Function.prototype.bind | Function . bind . call ( Object . defineProperty ( x => x , "length" , { get ( ) { x ; } } ) ) ;
Branch[20852]:T | unsolved:no-goals | INTRINSICS.Math.hypot | Math . hypot ( 1 ) ;
Branch[20855]:F | unsolved:no-goals | INTRINSICS.Math.hypot | Math . hypot ( 1 ) ;
Branch[21007]:T | unsolved:no-goals | INTRINSICS.Math.max | Math . max ( 1n ) ;
Branch[21031]:T | unsolved:no-goals | INTRINSICS.Math.min | Math . min ( 1n ) ;
Branch[22867]:T | unsolved:no-goals | INTRINSICS.String.fromCharCode | String . fromCharCode ( 0n ) ;
Branch[22876]:T | unsolved:contradiction | INTRINSICS.String.fromCodePoint | String . fromCodePoint ( 0n ) ;
Branch[22880]:T | unsolved:no-goals | INTRINSICS.String.fromCodePoint | String . fromCodePoint ( 0n ) ;
Branch[22880]:F | unsolved:no-goals | INTRINSICS.String.fromCodePoint | String . fromCodePoint ( - 1 ) ;
Branch[22884]:T | unsolved:no-goals | INTRINSICS.String.fromCodePoint | String . fromCodePoint ( NaN ) ;
Branch[22884]:F | unsolved:no-goals | INTRINSICS.String.fromCodePoint | String . fromCodePoint ( - 1 ) ;
Branch[22888]:T | unsolved:no-goals | INTRINSICS.String.fromCodePoint | String . fromCodePoint ( - 1 ) ;
Branch[22888]:F | unsolved:no-goals | INTRINSICS.String.fromCodePoint | String . fromCodePoint ( 0 ) ;
